obs,autos
1977M01,712548
1977M02,700399
1977M03,936870
1977M04,819154
1977M05,880640
1977M06,956064
1977M07,694436
1977M08,514643
1977M09,757266
1977M10,876344
1977M11,792743
1977M12,652867
1978M01,688096
1978M02,689355
1978M03,905041
1978M04,875652
1978M05,929094
1978M06,872012
1978M07,524766
1978M08,512073
1978M09,741768
1978M10,915978
1978M11,862127
1978M12,637336
1979M01,786839
1979M02,738808
1979M03,889775
1979M04,723248
1979M05,935198
1979M06,826678
1979M07,583765
1979M08,445349
1979M09,622851
1979M10,783843
1979M11,627346
1979M12,454669
1980M01,531670
1980M02,624301
1980M03,643200
1980M04,580855
1980M05,527353
1980M06,534085
1980M07,417038
1980M08,312758
1980M09,534480
1980M10,675001
1980M11,562380
1980M12,473764
1981M01,459862
1981M02,482098
1981M03,623571
1981M04,653306
1981M05,666389
1981M06,712524
1981M07,518456
1981M08,397334
1981M09,457731
1981M10,535129
1981M11,418948
1981M12,354697
1982M01,266858
1982M02,311926
1982M03,455808
1982M04,474222
1982M05,499242
1982M06,546807
1982M07,436644
1982M08,353656
1982M09,425047
1982M10,415197
1982M11,404542
1982M12,383921
1983M01,452949
1983M02,511981
1983M03,589394
1983M04,549322
1983M05,627517
1983M06,692046
1983M07,473239
1983M08,536421
1983M09,663210
1983M10,717972
1983M11,684263
1983M12,614038
1984M01,670687
1984M02,695171
1984M03,783807
1984M04,672200
1984M05,712979
1984M06,684381
1984M07,524872
1984M08,557060
1984M09,541792
1984M10,701686
1984M11,678927
1984M12,554159
1985M01,701921
1985M02,673582
1985M03,747433
1985M04,757752
1985M05,776811
1985M06,694122
1985M07,618537
1985M08,550469
1985M09,635329
1985M10,760970
1985M11,668083
1985M12,541031
