date,shipment
2007M01,61977
2007M02,60814
2007M03,74369
2007M04,76066
2007M05,86254
2007M06,90227
2007M07,95945
2007M08,90040
2007M09,77097
2007M10,70511
2007M11,59541
2007M12,58608
2008M01,61968
2008M02,66002
2008M03,76598
2008M04,79638
2008M05,87764
2008M06,92460
2008M07,96038
2008M08,91054
2008M09,77938
2008M10,73243
2008M11,60291
2008M12,60603
2009M01,61366
2009M02,70455
2009M03,81295
2009M04,82088
2009M05,85814
2009M06,97512
2009M07,97074
2009M08,88818
2009M09,79383
2009M10,66631
2009M11,59749
2009M12,61213
2010M01,56652
2010M02,65458
2010M03,79739
2010M04,74887
2010M05,81544
2010M06,94009
2010M07,88657
2010M08,89554
2010M09,74416
2010M10,63071
2010M11,57467
2010M12,56068
2011M01,57467
2011M02,60805
2011M03,75110
2011M04,68867
2011M05,80433
2011M06,85781
2011M07,81090
2011M08,81523
2011M09,67102
2011M10,61310
2011M11,57785
2011M12,53886
2012M01,51997
2012M02,56299
2012M03,68633
2012M04,67056
2012M05,74556
2012M06,78412
2012M07,83585
2012M08,76473
